,SEX,RAC1P,EDU,MSP,PINCP_DECILE,HOUSING_TYPE,OWN_RENT
17739,1,1,5,4,3,1,0
383,2,1,10,1,2,2,2
16046,1,4,8,1,1,1,0
11708,2,4,7,6,7,3,0
9674,1,2,7,1,2,1,1
6518,1,7,4,1,2,1,1
19127,2,1,9,3,0,1,1
8816,1,1,3,1,3,1,0
12143,2,6,10,2,2,2,2
10682,1,1,5,5,1,1,0
19429,1,1,7,2,5,1,0
19439,1,1,8,1,2,1,0
1229,1,4,4,1,2,1,0
11096,1,1,4,1,1,1,0
6522,1,1,2,6,4,1,1
21490,1,1,2,1,3,1,0
15953,1,1,7,2,1,1,1
14183,2,2,8,3,0,1,1
2482,1,1,8,1,0,1,0
9913,2,8,5,2,7,1,1
21948,1,1,4,4,1,2,0
10029,2,1,4,3,2,1,1
8419,2,3,5,6,4,1,1
13881,1,1,3,1,2,1,1
7901,2,1,7,2,3,1,0
11839,1,1,2,5,0,1,0
2545,1,9,4,4,3,1,1
22221,2,2,3,1,3,1,0
10503,1,2,5,2,0,1,0
6130,1,7,5,1,3,1,0
15182,1,1,3,1,4,1,0
20941,2,1,11,1,5,3,1
15423,1,2,5,1,2,2,0
13944,1,1,3,1,6,1,1
8598,2,6,4,6,4,1,0
4965,2,1,3,4,2,1,1
7595,1,1,3,3,5,1,0
19218,1,7,6,2,3,1,1
21650,2,1,3,2,4,1,1
6193,2,1,4,5,1,1,1
12604,1,2,2,2,3,1,0
10291,2,1,2,1,1,1,0
638,2,1,8,4,0,1,1
12290,2,2,2,3,6,2,1
1275,1,3,4,5,3,2,2
19407,1,1,5,1,6,1,1
18164,2,1,5,5,1,2,0
11705,2,2,1,5,4,3,2
16186,1,1,5,1,6,3,2
12600,2,2,5,2,4,2,0
289,1,1,7,2,0,3,1
19020,2,1,4,1,1,1,0
19714,1,1,5,1,3,1,0
6059,2,1,5,4,1,3,0
9557,1,5,4,2,3,2,1
1400,2,5,5,2,6,1,1
9876,1,1,5,1,2,1,1
15069,1,1,5,5,3,2,0
2314,2,2,8,2,4,1,1
1861,2,2,8,1,4,1,2
16829,1,5,7,5,2,1,0
17626,1,1,4,5,1,1,0
12001,1,1,5,1,6,1,0
18935,1,2,3,2,5,3,1
4787,2,4,7,2,4,1,1
15149,1,2,5,1,6,1,0
10058,1,1,10,4,5,1,0
14703,2,1,5,1,0,1,1
11117,1,1,3,5,1,1,0
11863,2,8,9,1,0,2,0
8310,1,1,3,3,1,1,0
7151,1,6,4,1,1,1,0
19182,1,1,10,1,3,3,1
21120,2,1,11,4,4,1,0
21609,1,1,7,2,1,1,1
1293,2,1,5,4,2,2,0
11722,2,8,5,4,4,3,0
1250,1,1,10,1,2,1,0
857,1,8,9,1,4,2,1
16628,2,1,7,2,3,1,0
21303,1,1,6,1,2,1,0
14158,2,1,8,1,1,1,1
4095,1,1,5,4,8,2,0
15827,2,1,9,5,5,2,0
2270,1,1,9,3,2,1,1
13619,1,2,3,1,0,1,0
9064,1,1,5,4,1,3,1
9778,2,1,4,1,1,1,0
6561,1,2,3,4,3,2,2
3227,1,1,7,2,2,1,0
20832,1,1,8,5,4,1,0
9472,1,2,7,1,2,1,1
15803,1,1,2,1,2,1,1
3513,1,2,9,1,0,1,1
19695,1,1,9,1,0,1,1
15526,2,1,5,4,4,1,1
21107,2,1,4,1,3,1,0
16529,1,1,11,1,5,1,0
5327,2,1,4,3,3,1,1
9795,1,1,3,1,7,2,1
22484,2,1,9,3,4,1,0
22536,2,1,7,4,9,1,1
19120,1,1,2,2,4,1,1
2672,1,1,3,1,4,1,1
11227,1,1,3,2,0,1,2
8501,2,1,8,4,7,3,2
21453,2,1,7,1,2,1,0
22948,1,1,8,3,7,1,1
8327,2,1,8,5,0,2,0
10922,1,1,1,5,1,3,1
1864,1,3,9,1,3,1,1
18216,1,2,4,1,3,1,1
19909,2,9,9,1,3,1,0
15608,2,1,9,1,0,1,1
17309,2,1,4,6,4,3,0
13492,2,1,7,1,3,1,0
19599,2,1,8,2,4,1,0
21469,1,1,3,1,6,1,0
13716,1,1,7,5,5,1,1
9147,1,1,8,2,1,3,1
7862,1,7,7,1,1,1,1
185,2,1,6,1,4,1,0
21991,1,1,9,1,2,1,0
2353,1,1,9,2,4,1,0
22929,1,1,2,1,3,1,0
832,1,1,3,1,6,1,0
19969,1,1,9,3,1,1,1
952,1,5,9,2,5,1,0
14515,2,1,3,1,1,1,0
4139,1,1,2,1,0,1,0
5239,1,6,5,4,2,1,0
4346,2,1,3,5,4,1,0
22191,2,2,10,1,4,2,1
4415,1,4,8,2,0,1,1
6802,1,1,5,2,6,1,0
7531,2,1,4,1,4,1,0
21888,2,7,5,3,5,2,0
3476,2,1,9,3,0,1,1
2675,2,1,9,2,4,1,0
19376,1,4,10,2,2,1,0
18383,2,7,7,1,3,1,1
6756,1,1,2,2,0,1,1
16060,1,1,9,6,4,3,1
8212,1,1,6,1,2,1,0
12381,2,1,9,6,5,3,1
6605,1,7,4,1,0,1,1
14988,1,2,5,5,2,1,0
19195,1,1,2,1,3,1,0
21747,1,1,5,2,6,1,0
3063,2,7,5,2,0,1,0
5147,2,1,4,4,0,1,0
101,1,2,5,1,1,1,1
1286,2,1,5,5,5,1,1
1113,2,1,2,1,3,1,0
17408,2,1,3,4,1,1,0
8700,2,1,4,3,0,1,0
1209,1,1,5,6,1,1,1
15247,2,1,3,1,1,1,0
6616,2,1,10,1,2,1,1
22057,2,1,10,3,1,1,0
14827,1,1,4,1,0,1,0
9094,1,2,5,1,3,3,1
21103,1,1,3,1,4,3,0
6084,1,1,3,1,2,1,0
7564,1,6,3,2,3,1,0
16901,2,1,5,4,1,1,0
12140,2,1,5,1,2,1,0
15249,1,1,7,1,2,1,1
17382,1,1,5,4,3,1,1
6663,2,2,3,1,4,1,0
18379,2,2,3,4,3,1,1
4861,2,2,5,2,0,1,1
2264,2,1,8,2,0,1,0
12618,1,1,2,1,2,1,1
69,1,1,2,1,1,1,0
13858,1,1,5,6,3,1,1
21837,2,1,2,2,4,1,0
21663,2,1,4,1,1,1,0
3889,2,1,6,3,4,1,1
10465,1,2,6,1,1,1,1
22713,1,1,7,1,3,1,0
13894,1,2,9,6,4,1,0
21858,1,1,1,4,2,1,1
9308,1,2,4,2,5,2,1
11640,1,1,4,1,2,3,0
20802,1,1,7,1,1,1,1
2785,2,4,12,4,3,1,0
22888,1,1,5,1,1,1,0
13287,1,1,5,3,0,1,0
18514,1,7,2,2,3,1,0
14777,1,5,3,3,5,2,0
117,2,1,8,5,1,1,0
16904,2,1,10,2,3,3,1
9721,2,5,11,3,3,3,0
15371,2,1,2,2,3,2,1
20070,2,1,5,4,5,1,0
5290,1,1,4,1,3,1,0
6214,2,4,8,6,4,1,0
21128,2,1,5,5,2,1,0
5823,1,8,7,4,2,3,0
11028,2,1,9,2,4,1,0
1302,2,1,3,1,3,1,0
78,2,1,4,1,0,1,0
8198,2,1,2,6,3,1,0
6397,1,5,3,5,3,1,0
9959,2,1,3,1,2,1,0
11686,1,1,6,2,0,1,1
11522,2,2,9,6,2,2,1
13537,2,1,10,4,5,1,0
17238,1,1,3,5,2,1,0
13903,2,1,5,5,2,1,0
18739,2,1,2,3,6,2,0
20720,1,1,2,2,2,1,1
19487,1,1,7,1,4,1,0
13477,1,1,5,1,3,1,0
6753,1,2,6,1,3,1,0
2935,2,1,4,1,3,3,1
6321,1,8,10,1,4,1,1
17490,2,8,5,3,7,2,1
15817,2,1,5,1,2,1,0
5636,1,1,5,1,4,1,1
21573,2,1,4,1,2,1,0
16718,1,1,5,4,1,2,0
21986,1,1,9,1,4,1,1
19861,2,1,8,1,4,1,0
7396,1,1,1,1,0,1,0
2651,2,1,7,2,7,3,1
1473,1,1,9,5,6,1,0
14814,1,1,2,3,2,1,1
7521,1,2,3,5,0,2,0
11798,1,1,5,5,5,1,0
12,2,1,6,1,0,1,1
4900,1,1,5,2,4,1,0
897,2,1,5,5,0,2,0
15950,1,1,5,1,7,1,0
4012,2,1,4,1,0,1,1
281,1,2,7,2,5,2,2
14499,1,1,9,1,4,1,0
3669,1,4,9,5,2,1,0
18112,2,1,4,6,4,1,1
5685,1,3,2,1,2,2,0
10002,1,1,5,1,2,1,0
7815,2,3,3,2,1,1,1
1749,2,2,5,1,5,1,0
5205,2,1,9,3,9,1,0
6175,1,1,12,1,0,2,1
15784,2,1,6,6,7,1,0
8286,1,1,12,6,5,1,0
2918,2,1,5,5,9,1,0
7356,2,1,2,1,1,3,0
20130,1,5,9,3,2,1,0
14433,1,1,4,1,3,1,0
5629,2,1,5,1,8,2,2
8391,2,7,6,1,3,1,1
4761,2,1,5,1,2,1,1
7875,2,1,3,4,4,1,0
2639,1,1,8,2,6,1,0
9130,1,1,5,1,3,1,0
3081,2,1,3,2,2,1,1
9307,1,1,5,2,4,2,2
20959,1,1,5,3,1,1,1
10001,2,1,9,3,0,2,1
5907,1,1,4,5,1,1,0
6930,1,4,4,5,0,1,0
16927,1,1,4,5,2,1,0
9451,2,1,2,1,1,1,0
16816,1,1,9,1,0,3,0
13197,2,1,4,1,3,1,0
3110,1,3,3,1,1,1,0
22335,2,8,5,1,3,1,0
19419,1,1,4,2,3,1,1
6721,2,2,2,4,2,1,1
21032,1,6,6,1,1,1,0
3573,2,2,2,4,0,1,0
1744,1,1,8,1,3,1,0
2546,2,1,4,1,3,1,0
17208,1,1,7,1,2,1,0
7280,1,1,5,2,5,1,0
21472,1,9,7,4,9,3,0
569,2,1,5,4,1,2,0
19944,2,1,6,6,2,2,2
3584,1,1,4,1,3,1,0
7445,1,1,3,2,3,1,1
10653,2,1,5,2,0,1,0
1891,2,1,7,1,4,1,1
17924,1,1,4,2,5,1,1
17068,1,1,5,4,2,1,1
1066,2,2,4,2,4,1,0
7961,2,1,5,1,1,3,0
12938,2,1,3,2,3,1,0
10175,1,1,3,1,0,1,0
9815,2,8,6,4,1,3,2
11685,1,1,4,1,0,1,0
4946,2,4,3,4,2,1,0
10029,1,1,5,1,2,2,1
9459,2,2,6,6,5,1,0
21921,1,1,7,4,0,2,0
5055,1,1,3,2,2,1,0
11512,2,2,4,3,3,1,0
13503,1,1,7,5,1,1,0
16887,1,5,10,4,4,3,0
18528,2,1,5,1,4,1,1
14401,1,1,4,2,3,1,0
9865,1,1,9,2,2,2,1
15214,1,1,5,1,2,1,0
4766,1,1,3,1,4,3,1
454,1,1,2,1,1,1,0
17349,1,1,5,6,0,3,1
4740,1,1,5,1,0,1,0
700,1,5,4,1,5,1,0
22050,1,1,6,6,2,3,0
3473,1,1,5,2,3,1,1
16119,2,1,5,1,2,1,0
22375,2,1,1,2,5,3,0
1549,1,5,1,1,2,1,1
3829,2,1,11,2,6,1,0
3244,2,1,9,1,4,1,1
16877,2,4,4,2,0,1,0
3357,1,1,11,1,3,1,0
16785,2,1,10,6,1,1,1
16024,1,6,7,5,1,1,0
11966,1,1,5,4,3,1,1
16405,1,1,5,1,3,1,0
20234,1,1,6,1,3,1,1
16663,1,1,4,2,0,1,1
8269,2,1,4,1,1,2,0
3884,2,1,5,3,1,2,0
4967,2,2,9,1,0,1,1
11680,2,1,4,4,2,1,0
5205,1,1,3,4,4,1,1
20115,1,1,3,1,0,2,0
19275,2,1,10,1,5,1,0
13140,2,1,7,1,3,1,1
10936,1,1,4,6,1,1,0
212,1,1,4,1,0,1,0
18632,1,1,3,1,3,1,0
4894,1,1,5,5,1,2,0
3598,2,1,2,1,1,3,0
7545,1,1,4,4,4,1,0
4617,1,1,5,2,1,1,1
18547,2,1,8,1,3,1,0
12202,1,1,3,1,1,1,1
4889,1,1,9,1,5,1,0
13927,1,1,9,5,2,3,1
22230,2,2,3,4,4,1,1
17327,1,1,7,5,2,1,0
10655,1,1,9,1,3,1,0
189,1,1,10,3,0,2,1
8195,1,1,11,5,5,2,1
17275,1,8,8,5,1,1,0
650,1,8,9,2,4,1,0
20933,1,7,5,1,3,1,1
4200,1,1,6,1,5,1,0
12806,2,1,3,2,3,3,2
4039,1,1,3,2,3,1,2
16181,2,7,5,1,2,1,1
11061,1,1,7,3,3,3,0
6963,1,1,5,3,0,1,1
2815,2,1,2,2,3,1,0
4294,2,1,4,1,0,3,0
2458,1,1,3,1,0,1,1
14909,1,1,5,1,3,1,0
5056,1,2,7,5,9,3,0
4855,2,1,6,4,1,1,0
1792,2,1,4,1,0,1,1
21349,2,2,4,2,6,1,0
19428,2,1,9,2,0,3,1
11688,2,2,5,1,1,1,1
1017,1,1,8,2,4,1,1
745,2,1,7,1,0,1,0
6809,1,1,9,1,5,1,1
8955,2,1,4,1,3,1,0
12434,2,1,7,4,3,2,0
11626,2,1,5,3,4,2,2
10706,2,1,3,6,1,3,0
1454,2,8,5,1,2,1,1
10355,2,1,9,1,3,2,2
956,2,1,5,1,4,1,0
20497,1,1,8,5,3,1,0
21683,1,6,12,3,3,1,1
1764,2,1,5,2,4,1,0
19729,2,9,2,1,0,1,1
3439,2,1,5,1,2,1,1
12484,1,1,8,1,3,1,0
21108,2,1,9,3,3,1,0
2547,1,1,7,1,2,1,0
16309,1,1,3,1,2,1,1
15439,2,1,5,2,9,1,0
21602,1,1,9,2,4,1,0
22493,2,2,9,1,3,1,1
14899,1,1,7,1,4,1,0
17127,2,1,9,5,6,1,0
16315,1,1,9,1,2,1,1
20724,1,1,8,1,1,1,0
19300,2,2,7,2,2,1,0
9336,1,1,1,3,0,1,0
19551,1,1,11,2,1,3,1
16047,2,1,4,1,6,1,0
7471,1,7,7,1,0,1,0
871,1,1,5,2,1,1,2
13154,2,1,5,5,3,1,1
8065,1,1,2,1,0,1,0
962,1,1,2,5,3,3,1
483,1,2,12,2,5,1,0
4712,2,2,4,1,2,1,0
721,1,8,4,1,0,1,1
20705,1,1,8,1,0,1,0
15159,2,1,3,5,2,1,0
8558,1,1,4,1,2,1,0
12272,1,1,6,4,2,1,0
18011,1,5,5,1,1,1,1
21034,2,1,9,1,4,3,1
20900,1,1,2,4,0,2,0
12187,2,1,4,2,5,2,1
10610,2,2,3,2,5,2,0
20131,1,1,7,1,4,1,0
8617,2,1,2,5,3,1,0
11944,1,1,2,5,3,1,0
9125,1,1,2,1,2,1,1
14956,2,1,4,1,1,1,0
13512,1,1,7,1,4,1,1
6898,1,1,3,3,0,3,1
