Respondent ID,How easy is it to balance your work life and personal life where you work?,None,"Family commitments: including but not limited to parental leave, bereavement leave, adoption/infertility support, child care supports, elder care supports","Health and wellness: including but not limited to fitness, nutrition, mental health services, stress management, mindfulness services","Cultural/religious practices: including but not limited to extended or flexible holidays, dedicated prayer rooms","Flexible working arrangements: including but not limited to hybrid or remote work, short-term disability benefits, flex time/alternative schedules, job sharing, temporary or permanent switch to part time, and emergency leave",Not listed (please specify),"Family commitments: including but not limited to parental leave, bereavement leave, adoption/infertility support, child care supports, elder care supports","Health and wellness: including but not limited to fitness, nutrition, mental health services, stress management, mindfulness services","Cultural/religious practices: including but not limited to extended or flexible holidays, dedicated prayer rooms","Flexible working arrangements: including but not limited to hybrid or remote work, short-term disability benefits, flex time/alternative schedules, job sharing, temporary or permanent switch to part time, and emergency leave",[Insert text from Other],My employer states its values about diversity.,My employer is committed to creating an inclusive and equitable workplace.,I feel respected and valued in my workplace.,I believe the culture in my workplace is supportive.,Do you have any comments about work/life balance or work culture?,Have you ever taken voluntary or involuntary extended leave (more than regular vacation or paid time off) from your career?,Please note the length of your latest or most significant leave.,Please indicate the reason(s) for your leave.,Open-Ended Response,How would you characterize the impact your time off had on your career progression?,Open-Ended Response,"On a scale of 1 to 10, with 10 being completely satisfied, how satisfied are you with your current position?",Recognition from Colleagues/Peers,Recognition from Leadership,Leadership Opportunities,Promotions,Compensation,Access to Manager(s),"Project, Committee, or Team Assignments",Open-Ended Response,None,Skills training,Personal development,Professional  development,Certification program,Degree program,"Diversity, Equity & Inclusion training (e.g., implicit bias training)",Not listed (please specify),Skills training,Personal development,Professional  development,Certification program,Degree program,"Diversity, Equity & Inclusion training (e.g., implicit bias training)",Other,Open-Ended Response,"Do you currently or have you ever had a mentor, sponsor, coach, or other advisor who helped you navigate your career?",Was the relationship part of a formal mentoring program?,Did their support measurably impact your professional growth?,"Have you ever served in the workplace as a mentor, sponsor, coach, or other advisor?",Was the relationship part of a formal mentoring program?,Open-Ended Response,None,Networking at in-person conferences,Networking at virtual conferences,Participate in employee resource groups,Socialize with peers within my company,Socialize with peers outside of my company,"Use social media (e.g., LinkedIn)",Networking at in-person conferences,Networking at virtual conferences,Participate in employee resource groups,Socialize with peers within my company,Socialize with peers outside of my company,"Use social media (e.g., LinkedIn)",Have you advanced your career or experienced other benefits as a result of networking?,Open-Ended Response,I take initiative to identify new job opportunities.,I am likely to pursue job opportunities that are presented to me.,"I let my manager know what I want, with the expectation that it will generate growth opportunities.",I pursue job opportunities even if I do not fulfill all of the requirements on a job description.,I find that job opportunities I pursue don’t come to fruition.,I trust that I am compensated appropriately for my accomplishments.,I advocate for myself when appropriate so that my manager knows what I want and expect.,I believe I am being paid fairly for the work that I do.,I avoid discussions about salary and incentives.,"I lead the discussion, whether or not I am facilitating the meeting.",I contribute to discussions without hesitation.,I keep my thoughts to myself during meetings.,I volunteer to take meeting notes/minutes.,I have fair opportunities to be promoted.,I believe people of all genders have the same opportunities to be promoted in the industry.,I believe people of all ethnicities have the same opportunities to be promoted in the industry.,I believe people of all ages have the same opportunities to be promoted in the industry.,I believe people of all religious beliefs have the same opportunities to be promoted in the industry.,I believe people of all sexual orientations have the same opportunities to be promoted in the industry.,I believe people with disabilities and people without disabilities have the same opportunities to be promoted in the industry.,Open-Ended Response,Which of the following best describe your gender identity?,Not listed (please specify),Asian,Black,Indigenous,Latina/e/o/x,West Asian,Pacific Islander,White,Prefer not to answer,Not listed (please specify),Open-Ended Response,What country do you currently live in?,What country were you born in?,Is your first language the primary language of your workplace? ,"Yes, I have a disability","Yes, I have a neurodivergent condition",No,Prefer not to answer,"Yes, one or more children","Yes, one or more adults",No,Prefer not to answer,Asexual,Bisexual,Heterosexual,Gay or Lesbian,Pansexual,Queer,Prefer not to answer,Not listed (please specify),Which age group do you belong to?,What is the highest degree or education level that you have achieved?,None of the above,Agnostic,Ancestral or tribal beliefs,Atheist,Baháʼí,Buddhist,Christian,Daoist,Folk religionist or Spiritist,Hindu,Muslim,Jainist,Jewish,Pagan,Shintōist,"Spiritual, but not religious",Sikh,Zoroastrian,Prefer not to answer,Not listed (please specify),Full-Time Permanent Staff,Part-Time Permanent Staff,Temporary or contract Staff,Owner or founder,Independent consultant or freelancer,Retired,Unemployed,Not listed (please specify),Which of the following groups best describes your employment level?,Not listed (please specify),Which of the following groups best describes the organization that you work for?,Not listed (please specify),Approximately what is the size of your employer's workforce?,"In which of the following areas of publishing are you involved? Choose the function that most closely resembles your role, or self-describe in the comment box if your area is not listed.",Not listed (please specify),How long have you worked for your current employer?,How long have you worked in publishing and/or related industries?,"No, none of the above","Yes, a paid opportunity","Yes, an unpaid opportunity"
00011,Somewhat easy,,1,1,1,1,,1,1,,1,,Agree,Agree,Agree,Agree,,Yes,Less than 1 month,Illness (Self),,Neutral,,6,Satisfied,Satisfied,,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,,,1,1,1,1,,1,,1,,,1,,1,,,Yes,I do not know,Yes,Yes,I do not know,,,1,1,,1,1,1,NO CHANGE since the pandemic,MORE OFTEN than before the pandemic,,LESS OFTEN than before the pandemic,LESS OFTEN than before the pandemic,NO CHANGE since the pandemic,I do not know,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Rarely,Disagree,Agree,Agree,Agree,Agree,Agree,,,Man,,,,,,,,1,,,,United States,United States,Yes,,,1,,1,,,,,,1,,,,,,35-44 years old,Bachelor's Degree or equivalent,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,Mid-level,,"Publisher (Commercial, Society, and University)",,101 to 500,Marketing,,6 to 10 years,6 to 10 years,,1,1
00012,Very easy,,1,1,1,1,,,1,1,1,,Strongly agree,Agree,Agree,Agree,,No,,,,,,,Satisfied,Satisfied,Dissatisfied,Very dissatisfied,Dissatisfied,Very satisfied,Satisfied,,,1,,1,,,1,,1,,1,,,1,,,No,,,No,,,,,,,1,,1,,,,NO CHANGE since the pandemic,,NO CHANGE since the pandemic,Yes,,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Sometimes,Often,Rarely,Sometimes,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,,,Prefer not to answer,,,,,,,,1,,,,United States,United States,Yes,,1,,,,,1,,,,1,,,,,,45-54 years old,Bachelor's Degree or equivalent,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,Entry-level,,"Publisher (Commercial, Society, and University)",,11 to 100,Marketing,,6 to 10 years,21 years or more,1,,
00013,Somewhat easy,,1,1,,1,,,,,1,,Agree,Agree,Agree,Agree,,No,,,,,,,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,,,,1,,,,1,,,1,,,,1,,,No,,,Yes,I do not know,,,1,,,1,1,,MORE OFTEN than before the pandemic,,,MORE OFTEN than before the pandemic,MORE OFTEN than before the pandemic,,No,,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Sometimes,Often,Sometimes,Rarely,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,,,Woman,,1,,,,,,,,,,United States,United States,Yes,,,,1,,1,,,,,,,,,1,,55-64 years old,Doctorate or Advanced Degree,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,Mid-level,,Non-profit organization or association,,11 to 100,Communications,,1 to 5 years,Less than 1 year,1,,
00014,Somewhat easy,,,1,,1,,,1,,1,,Agree,Strongly agree,Strongly agree,Strongly agree,,No,,,,,,,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,,,1,,1,,,,,1,,1,,,,,,Yes,No,Yes,Yes,Yes,,,,1,,1,,1,,MORE OFTEN than before the pandemic,,NO CHANGE since the pandemic,,MORE OFTEN than before the pandemic,Yes,,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Sometimes,Often,Rarely,Rarely,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,,,Woman,,1,,,,,,,1,,,India,India,Yes,,,1,,1,,,,,,1,,,,,,35-44 years old,Masters or equivalent,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,Senior or executive-level,,Industry organization/trade association,,"501 to 2,000",Communications,,11 to 20 years,11 to 20 years,1,,
00015,Somewhat easy,,,,,1,,,,,,,Agree,Strongly disagree,Strongly agree,Strongly agree,,No,,,,,,10,Very satisfied,Very satisfied,Satisfied,Not applicable,Satisfied,Satisfied,Satisfied,,1,,,,,,,,,,,,,,,,No,,,No,,,,1,1,,,,1,LESS OFTEN than before the pandemic,MORE OFTEN than before the pandemic,,,,NO CHANGE since the pandemic,Yes,,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Often,Often,Sometimes,Sometimes,I do not know,I do not know,I do not know,I do not know,I do not know,I do not know,,1,Not listed (please specify),,,,,,,,,1,,,,,Yes,,,,1,,,1,,,,,,,,1,,Prefer not to answer,Masters or equivalent,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,Mid-level,,Non-profit organization or association,,2 to 10,,,1 to 5 years,11 to 20 years,1,,
00016,Very easy,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00017,Somewhat easy,,,,,1,,,,,1,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No,,,,,,9,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,,1,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,No,,,,,,1,1,,,,,MORE OFTEN than before the pandemic,MORE OFTEN than before the pandemic,,Yes,,Strongly Agree,Strongly Agree,Agree,Disagree,Not applicable,Agree,Agree,Disagree,Agree,Rarely,Rarely,Often,Always,I do not know,Disagree,Disagree,Agree,Agree,Agree,,,Woman,,,1,,,,,,,,,Brazil,Brazil,Yes,,,1,,,,1,,,,1,,,,,,25-34 years old,Masters or equivalent,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,Intermediate,,Academic Institution or Library,,2 to 10,Editorial or peer review,,Less than 1 year,1 to 5 years,1,,
00018,Somewhat easy,,1,1,1,1,,,1,1,1,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No,,,,,,8,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,1,1,1,,,,,1,,,,,,,,No,,,No,,,1,,,,,,,,,,,,,No,,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Sometimes,Often,Sometimes,Sometimes,Agree,Agree,Agree,Disagree,Agree,Agree,,,Woman,,1,,,,,,,,,,India,India,No,,,1,,,,1,,,,,,,,1,,25-34 years old,Bachelor's Degree or equivalent,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,Entry-level,,Publishing Services Provider,,"2,001 to 10,000",Communications,,1 to 5 years,1 to 5 years,1,,
00019,Not so easy,,1,,,1,,1,,,,,Agree,Disagree,Disagree,Disagree,,Yes,1 to 3 months,Illness (Family Member),,Neutral,,4,Satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Satisfied,Dissatisfied,Dissatisfied,,,1,1,1,,,1,,,1,1,,,1,,,Yes,Yes,Yes,Yes,Yes,,,,,,1,,1,,,,LESS OFTEN than before the pandemic,,NO CHANGE since the pandemic,I do not know,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Sometimes,Often,Sometimes,Rarely,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,Man,,,,,,,,1,,,,United Kingdom,United Kingdom,Yes,,,1,,,,1,,,,1,,,,,,35-44 years old,Masters or equivalent,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,Mid-level,,"Publisher (Commercial, Society, and University)",,"10,001 to 20,001+",Marketing,,1 to 5 years,11 to 20 years,,1,1
00020,Very easy,,1,1,1,1,,,1,,1,,Strongly agree,Agree,Agree,Agree,,No,,,,,,7,Very satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,,,1,1,1,,,1,,1,1,1,,,1,,,Yes,No,Yes,Yes,Yes,,,1,,,1,1,1,LESS OFTEN than before the pandemic,,,LESS OFTEN than before the pandemic,LESS OFTEN than before the pandemic,NO CHANGE since the pandemic,No,,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,,,Woman,,,,,,,,1,,,,United States,United States,Yes,,,1,,,,1,,,,1,,,,,,45-54 years old,Bachelor's Degree or equivalent,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,Mid-level,,"Publisher (Commercial, Society, and University)",,"2,001 to 10,000",Production,,11 to 20 years,11 to 20 years,1,,
00021,Not so easy,,1,1,1,1,,,1,,1,,Agree,Agree,Agree,Agree,,No,,,,,,4,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
