how_long_have_you_worked_for_your_current_employer,which_of_the_following_groups_best_describes_your_employment_level,which_of_the_following_groups_best_describes_the_organization_that_you_work_for,flexible_working_arrangements,culturalreligious_practices,approximately_what_is_the_size_of_your_employer's_workforce,i_believe_i_am_being_paid_fairly_for_the_work_that_i_do,family_commitments,yes_one_or_more_children,leadership_opportunities,black,white,asian,latinaeox,recognition_from_colleaguespeers,what_country_do_you_currently_live_in,is_your_first_language_the_primary_language_of_your_workplace_,socialize_with_peers_within_my_company,i_pursue_job_opportunities_even_if_i_do_not_fulfill_all_of_the_requirements_on_a_job_description,i_avoid_discussions_about_salary_and_incentives,i_advocate_for_myself_when_appropriate_so_that_my_manager_knows_what_i_want_and_expect,i_trust_that_i_am_compensated_appropriately_for_my_accomplishments,i_let_my_manager_know_what_i_want_with_the_expectation_that_it_will_generate_growth_opportunities
1,3,5,1,0,4,2,0,0,4,0,1,0,0,4,10,4,0,4,4,2,2,2
0,4,2,1,0,0,4,0,1,4,0,1,0,0,4,10,4,1,5,1,5,2,2
0,3,7,1,0,4,4,0,0,4,0,1,0,0,4,10,4,1,4,5,4,4,2
0,2,7,1,0,5,5,1,0,4,0,0,1,0,5,4,1,1,5,4,4,5,5
1,3,7,1,0,4,2,1,1,4,0,1,0,0,4,10,4,1,2,2,4,2,4
1,4,1,1,1,7,4,1,0,2,0,1,0,0,2,10,4,1,1,2,2,2,2
0,2,7,1,0,6,2,0,0,2,0,0,1,0,4,10,4,1,4,4,2,2,2
0,2,1,1,0,6,1,0,0,3,0,0,0,0,4,10,4,1,2,2,4,1,4
0,3,7,1,0,6,1,0,1,4,0,1,0,0,5,9,4,1,4,1,5,1,4
1,4,8,1,0,6,5,0,0,5,0,0,0,0,5,10,4,1,4,1,5,2,5
0,3,7,1,0,3,4,1,1,4,0,1,0,0,4,9,4,1,2,4,2,4,4
0,3,7,1,0,3,2,0,0,4,0,1,0,0,4,9,4,0,4,2,4,2,2
1,3,7,1,0,5,4,0,0,2,0,1,0,0,4,9,4,1,4,2,4,4,5
0,2,7,1,0,7,2,0,0,3,0,0,0,0,3,10,4,1,4,2,2,2,2
0,4,5,1,0,3,4,1,1,5,0,1,0,0,5,10,4,1,2,4,4,4,2
0,4,7,1,0,0,2,1,0,3,0,0,0,0,4,4,1,1,2,4,2,2,5
0,3,7,1,0,4,5,0,0,2,0,1,0,0,5,9,4,1,4,4,4,4,4
1,2,7,1,0,4,2,1,1,2,0,1,0,0,4,3,4,1,2,4,4,2,4
0,2,5,1,0,4,1,0,0,1,0,1,0,0,1,9,4,1,5,2,5,1,5
0,2,7,1,0,6,4,0,0,4,0,1,0,0,5,9,4,1,4,2,4,4,5
0,3,7,1,1,2,2,0,0,3,0,0,1,0,4,10,4,0,2,2,4,2,4
0,2,7,1,0,6,4,0,0,4,0,1,0,0,4,10,4,1,2,4,2,4,4
1,4,7,1,0,3,4,0,0,5,0,1,0,0,5,10,4,1,4,2,4,5,2
0,4,7,1,0,4,2,1,1,5,0,1,0,0,5,10,4,1,4,2,4,3,3
0,3,5,1,0,3,2,0,0,5,0,0,1,0,5,10,1,1,2,5,4,2,4
1,3,5,1,0,5,4,1,0,4,0,1,0,0,4,10,4,1,3,4,4,4,2
0,3,5,1,0,4,0,0,1,2,0,1,0,0,2,10,4,1,2,4,2,2,2
1,4,7,1,0,3,5,0,1,5,0,1,0,0,5,10,4,1,2,2,5,5,4
0,1,7,1,1,5,4,1,1,4,0,1,0,0,4,10,4,1,4,4,2,4,4
0,3,7,1,0,4,4,0,0,4,0,0,1,0,4,4,1,1,2,4,4,4,4
0,2,9,1,0,4,2,0,1,2,0,0,0,0,5,9,4,1,2,2,4,2,4
0,4,5,1,0,4,5,0,0,5,0,1,0,0,4,10,4,1,4,2,5,4,4
1,5,1,1,0,5,1,0,0,1,0,1,0,1,1,1,4,0,2,1,4,4,5
1,4,8,1,0,5,2,1,0,4,0,0,1,0,4,4,1,0,5,1,5,2,4
0,4,5,1,0,3,4,0,0,4,0,1,0,0,5,9,4,1,4,2,4,4,4
0,4,7,1,0,3,4,0,0,4,0,0,0,0,5,10,4,1,4,2,5,4,4
0,1,7,1,0,3,2,0,0,2,0,0,1,0,4,10,4,1,2,4,4,2,2
1,2,7,1,0,4,4,1,1,2,0,0,1,0,4,9,4,1,2,4,2,4,4
0,3,7,1,0,2,5,1,0,2,0,1,0,0,4,10,4,1,4,1,5,4,4
1,3,7,1,0,7,4,0,1,5,0,1,0,0,5,9,4,1,2,5,5,4,5
0,1,7,1,0,2,2,0,0,4,0,1,0,0,4,10,4,1,4,2,4,2,4
0,2,7,1,0,3,4,0,0,5,0,1,0,0,5,10,4,1,5,5,5,2,5
0,2,1,1,0,4,2,0,0,2,0,1,0,0,4,10,4,0,2,2,5,2,5
0,1,1,0,0,6,4,0,0,4,0,0,0,1,5,1,4,1,2,2,4,4,4
1,5,1,0,0,5,1,1,0,0,0,0,0,1,4,1,4,1,2,2,2,1,4
0,2,1,1,0,3,5,0,0,5,1,0,0,0,5,10,4,1,5,5,5,5,5
1,3,7,1,0,2,1,0,0,2,0,1,0,0,2,10,4,0,2,2,2,1,2
1,4,6,1,0,6,4,0,0,4,0,0,0,0,4,10,4,0,3,4,5,4,2
0,2,7,1,0,5,4,0,1,4,0,0,0,0,5,10,4,1,4,4,4,4,4
0,1,7,1,0,4,1,0,0,3,0,1,0,0,5,10,4,1,4,2,4,1,5
0,2,7,1,0,4,1,0,0,4,0,0,1,0,4,10,4,1,5,1,4,1,4
1,3,5,0,0,5,5,0,0,5,0,1,0,0,5,10,4,0,2,2,5,5,4
1,3,1,1,1,6,5,1,0,4,0,1,0,0,4,10,4,1,3,2,4,5,4
1,3,8,1,0,7,2,1,1,4,0,1,0,0,5,10,4,1,2,4,4,2,3
1,4,1,0,0,6,2,0,0,5,0,1,0,0,4,1,4,0,3,4,3,2,3
0,3,7,1,0,4,4,0,0,4,0,1,0,0,5,10,4,1,4,2,4,4,2
1,3,7,0,0,6,2,1,0,5,0,0,1,0,5,10,4,1,4,2,4,2,4
1,2,7,1,0,7,2,1,1,4,0,1,0,0,5,9,4,0,4,2,4,2,2
1,3,7,1,0,6,2,1,0,1,0,0,1,0,4,4,4,1,5,2,4,1,1
1,4,7,1,0,3,4,1,0,5,0,1,0,0,5,9,4,1,2,2,4,4,4
0,2,7,1,0,5,4,0,0,2,0,1,0,0,5,9,4,1,4,2,5,2,5
0,3,8,1,0,4,2,0,0,4,0,1,0,0,4,10,4,1,2,4,2,2,4
0,4,8,1,0,5,2,0,0,4,0,1,0,0,5,10,4,0,5,4,5,2,2
0,1,7,1,0,3,1,0,0,4,1,0,0,0,4,10,4,1,2,1,5,1,5
0,2,7,1,0,3,2,0,0,5,0,1,0,0,4,10,4,1,5,1,5,2,5
1,3,7,1,0,3,2,1,0,4,0,0,1,0,4,10,4,1,3,4,2,2,3
0,3,7,1,0,6,1,1,0,1,0,1,0,0,1,9,4,0,2,4,4,1,2
0,1,5,1,0,3,1,0,0,1,0,1,0,0,4,10,4,1,5,4,2,1,2
0,4,8,1,1,3,4,0,0,4,0,1,0,0,5,10,4,0,2,4,4,5,3
0,2,1,0,0,6,1,0,0,1,0,1,0,0,4,9,4,0,4,4,4,1,2
0,4,8,1,0,2,4,0,0,4,0,1,0,0,5,10,4,1,3,2,0,4,5
0,3,5,1,0,4,5,1,0,4,0,1,0,0,4,10,4,1,4,2,5,5,5
0,4,7,1,0,4,4,1,1,4,0,1,0,0,4,10,4,1,2,4,4,4,4
1,4,7,1,0,6,4,1,0,4,0,1,0,0,5,6,1,1,4,2,5,4,4
0,3,5,1,0,4,4,1,0,5,0,1,0,0,5,10,4,1,4,2,5,4,4
0,1,7,1,0,3,2,0,0,4,0,1,1,0,5,10,4,1,2,4,2,2,4
0,3,8,1,0,6,4,0,0,5,0,0,0,1,5,10,4,1,2,4,4,4,4
1,4,5,1,0,3,4,1,0,5,0,1,0,0,4,10,4,1,2,2,4,4,4
1,2,7,1,0,5,2,1,1,4,0,1,0,0,4,10,4,1,3,2,2,2,3
0,2,7,1,0,4,1,0,0,2,0,1,0,0,4,9,4,1,4,1,5,2,4
0,3,1,0,0,3,4,0,0,2,0,1,0,0,2,10,4,1,4,4,4,2,4
1,2,3,0,0,3,2,1,0,2,0,0,0,1,2,1,4,1,2,4,2,2,2
1,4,1,1,1,3,4,1,1,5,0,1,0,0,5,9,4,1,3,2,5,4,4
0,2,7,1,0,3,4,0,0,1,0,1,0,0,4,10,4,0,4,4,4,4,4
0,2,7,1,0,3,2,0,0,4,0,1,0,0,4,9,4,0,2,2,4,2,3
1,3,7,1,1,4,4,1,1,5,0,1,0,0,5,10,4,1,4,2,4,4,4
0,1,7,1,0,5,2,0,0,5,0,1,0,0,5,10,4,1,4,2,4,2,4
0,2,7,1,0,3,2,0,0,2,0,1,0,0,4,10,4,1,2,4,4,2,4
1,3,5,1,0,3,5,0,0,2,0,1,0,0,4,9,4,1,2,4,2,4,2
0,3,7,1,1,4,2,0,0,4,0,0,1,0,5,9,1,1,4,4,5,2,5
0,1,7,0,0,3,1,0,0,2,0,1,0,0,4,10,4,1,5,1,5,1,4
0,1,7,1,0,5,2,0,0,3,0,1,0,0,4,10,4,1,4,2,4,4,4
1,3,7,1,0,7,4,1,0,2,0,0,0,0,2,10,4,1,2,2,4,4,2
0,2,7,1,0,5,2,1,0,4,0,0,1,0,5,4,1,1,5,3,4,2,5
0,1,6,1,0,4,2,0,0,4,0,0,1,0,5,10,4,1,2,4,2,2,4
1,4,1,0,0,4,2,0,0,2,0,0,0,1,2,1,4,0,3,2,4,2,3
1,4,7,1,0,3,4,0,0,5,0,1,0,0,4,10,4,1,5,4,4,4,5
1,3,7,1,0,7,4,0,0,3,0,1,0,0,5,3,4,1,3,4,3,4,3
0,3,8,1,0,6,4,0,0,5,0,1,0,0,5,2,4,1,2,2,4,4,4
1,3,7,1,0,3,1,0,0,2,0,1,0,0,4,10,4,0,4,1,4,1,4
1,3,7,1,0,6,4,0,1,4,0,1,0,0,5,10,4,1,4,2,5,4,4
1,3,8,1,1,6,4,1,1,5,0,1,0,0,5,10,1,0,4,4,4,4,4
0,2,7,1,0,6,5,1,1,5,0,1,0,0,5,9,4,0,5,4,5,5,4
0,2,7,1,0,7,5,1,0,2,0,1,0,0,4,3,4,1,2,3,3,5,4
1,3,7,1,0,6,4,1,0,5,0,1,0,0,5,9,4,1,4,2,4,4,2
0,2,8,1,0,6,4,0,0,4,0,1,0,0,5,10,4,1,2,2,2,2,4
0,4,7,1,0,4,2,0,0,2,0,1,0,0,4,10,4,0,4,4,2,2,2
0,3,9,1,0,3,4,0,0,4,0,1,0,0,4,10,4,1,5,2,4,2,2
1,3,7,1,0,3,4,0,1,4,0,1,0,0,4,10,4,0,4,3,4,4,2
0,3,7,1,0,6,5,1,1,5,0,1,0,0,5,9,4,1,1,5,5,5,5
0,2,1,1,0,3,4,0,0,4,0,1,0,0,4,10,4,1,4,4,4,4,4
0,3,7,1,0,3,5,0,0,3,0,1,0,0,5,10,4,1,4,1,5,4,4
0,2,5,1,0,3,3,0,0,2,0,1,0,0,4,9,4,0,2,4,2,4,4
1,4,5,1,0,4,4,1,1,5,0,0,0,0,5,10,4,1,4,1,4,4,4
1,3,8,1,0,6,4,1,1,5,0,0,1,0,4,4,1,1,2,4,4,4,5
0,3,7,1,0,2,2,1,0,2,0,1,0,0,4,10,4,1,4,2,4,2,4
1,2,5,1,0,4,4,0,0,4,1,1,0,0,4,10,4,1,2,5,4,4,1
0,2,7,0,0,3,2,0,0,2,0,1,0,0,2,9,4,0,4,1,4,2,4
0,3,7,1,0,3,2,0,0,3,0,0,1,0,4,10,4,1,3,4,2,2,2
1,4,7,1,0,3,5,0,0,5,0,1,0,0,5,10,4,1,3,2,5,5,5
0,5,2,1,0,2,4,1,0,3,0,0,0,0,2,9,4,0,2,2,4,4,2
0,1,1,1,0,4,4,1,1,4,0,1,0,0,5,10,4,1,2,2,4,2,5
0,3,7,1,0,4,4,0,0,1,0,0,0,0,2,10,4,0,5,2,4,2,1
1,2,7,1,0,7,2,1,0,2,0,1,0,0,4,10,4,0,2,2,4,2,2
0,3,6,1,0,3,4,1,1,4,0,1,0,0,4,10,4,1,2,5,2,4,2
0,3,7,0,0,5,2,1,0,4,0,1,0,0,5,9,1,0,2,1,5,2,4
0,2,7,1,0,4,4,0,0,4,0,1,0,0,4,10,4,1,4,2,4,2,4
0,2,1,1,0,3,2,0,0,1,0,0,1,0,4,1,4,1,4,1,4,2,4
0,4,5,1,1,4,5,1,1,5,0,1,0,1,5,10,4,1,4,2,5,4,5
1,2,9,1,0,6,1,1,0,2,0,1,0,1,4,10,4,1,4,4,2,1,2
0,2,7,1,0,2,4,0,0,4,0,1,0,0,5,10,4,0,4,4,5,4,4
0,3,7,1,0,4,4,0,0,4,0,1,0,0,5,10,4,1,4,4,4,4,4
0,4,5,1,0,3,2,1,1,4,0,0,1,0,5,9,1,1,5,4,4,2,4
0,3,1,0,0,3,4,0,0,2,1,0,0,0,2,10,4,0,2,3,2,4,1
0,4,5,1,0,2,4,0,0,5,0,1,0,0,5,10,4,1,4,2,4,4,4
1,3,7,1,1,4,0,1,0,4,0,0,1,0,4,4,4,1,0,0,4,0,4
1,2,1,1,0,5,4,1,1,3,0,1,0,0,5,9,1,1,2,2,5,4,5
0,3,7,1,0,4,2,0,0,2,0,1,0,0,5,3,1,1,2,4,2,2,4
1,3,7,1,0,6,4,1,1,2,0,1,0,0,5,9,4,1,2,4,4,4,4
0,2,7,1,0,4,4,1,0,2,0,1,0,0,4,10,4,1,2,1,5,2,5
0,2,7,1,1,4,4,0,0,2,0,1,0,0,4,10,4,0,4,4,4,4,4
1,3,1,1,0,6,4,1,0,5,0,1,0,0,5,10,4,1,3,2,4,4,4
0,4,5,1,0,3,5,0,0,3,0,1,0,0,5,2,4,1,3,3,4,5,3
0,3,7,1,0,6,4,0,0,2,0,0,1,0,4,9,4,1,5,1,4,4,4
0,4,7,1,0,5,2,0,0,4,0,1,0,0,4,9,4,0,1,4,2,4,5
0,3,7,1,0,6,4,0,0,2,0,1,0,0,4,10,4,1,2,4,4,2,4
0,3,2,1,1,3,5,0,0,5,0,1,0,0,5,10,4,1,5,4,5,5,4
0,4,1,1,0,6,2,0,0,5,0,1,0,0,5,10,4,0,3,2,5,2,4
0,2,1,0,0,7,4,0,0,4,0,1,0,0,4,10,4,0,5,2,4,4,4
0,3,7,1,1,6,5,1,1,4,0,1,0,0,5,10,4,1,4,2,4,5,4
0,1,7,1,0,5,4,1,0,2,0,1,0,0,5,9,4,0,4,5,4,4,4
0,5,5,1,0,4,1,0,0,1,0,1,0,0,2,10,4,0,5,5,5,1,4
0,2,5,1,1,4,1,0,0,4,0,1,0,0,4,10,4,1,4,4,4,2,4
0,4,8,0,0,2,2,0,0,4,0,1,0,0,4,10,4,1,4,2,4,2,4
1,3,1,1,0,4,4,1,0,2,0,1,0,0,4,2,4,1,4,4,4,4,4
0,5,7,1,0,6,2,0,0,4,0,1,0,0,4,9,4,0,1,2,4,2,4
0,2,7,1,0,7,4,0,0,4,1,0,0,0,5,10,4,1,5,2,4,4,5
0,4,7,1,0,3,4,1,0,5,0,1,0,0,5,10,4,0,2,1,4,5,3
0,2,7,1,0,3,2,0,0,2,0,0,1,0,4,10,4,1,2,2,4,2,4
1,2,7,1,0,5,2,1,0,4,0,1,0,0,4,1,4,1,4,4,4,2,4
1,4,7,1,0,4,5,0,0,5,0,1,0,0,5,9,4,1,3,4,4,5,3
1,4,5,1,0,3,4,1,0,4,0,1,0,0,4,10,4,1,4,3,4,4,2
1,4,1,0,0,4,2,0,0,5,0,1,0,0,5,1,4,0,1,2,4,2,2
0,3,7,1,1,7,4,1,0,4,0,0,0,1,4,5,4,1,2,2,4,4,4
0,3,7,1,0,4,2,0,0,4,0,1,0,0,4,9,4,1,2,4,4,4,5
0,2,7,1,0,4,4,0,1,3,0,1,0,0,5,10,4,1,4,2,5,4,4
0,3,9,1,0,7,4,0,1,2,0,1,0,0,2,10,4,0,5,1,5,4,5
1,3,7,1,0,4,4,0,0,2,0,1,0,0,4,9,4,1,2,4,2,4,2
0,3,7,1,0,4,2,0,1,5,0,1,0,0,5,10,4,1,5,4,4,2,5
1,3,7,1,0,7,2,0,0,4,0,1,0,0,4,9,4,1,2,4,2,2,2
0,2,7,1,1,3,2,0,0,4,1,0,0,0,5,10,4,1,2,4,4,4,4
0,3,7,1,1,7,5,1,1,4,0,1,0,0,4,10,4,1,2,4,5,5,2
0,3,7,1,0,5,4,1,0,4,0,1,0,0,5,10,4,1,5,4,5,4,5
1,3,7,1,1,3,4,0,0,4,0,1,0,0,4,10,4,1,2,4,2,4,4
0,2,1,1,0,7,2,0,0,4,0,1,0,0,4,2,4,1,4,2,4,2,4
0,2,7,1,0,5,4,0,0,4,1,1,0,0,4,10,4,1,2,5,4,2,4
0,3,7,1,1,3,4,1,1,5,0,1,0,0,5,9,4,1,4,2,4,4,3
0,3,7,1,0,3,1,0,0,4,0,1,0,0,5,9,1,1,5,2,4,2,5
0,3,7,1,0,3,4,1,0,5,0,1,0,0,5,9,4,1,4,1,4,4,5
0,2,7,0,0,4,2,0,0,2,0,1,0,0,4,10,4,1,4,3,2,2,2
1,3,7,1,0,7,4,0,0,4,0,1,0,0,5,8,1,1,2,2,4,4,2
0,4,7,1,1,3,2,1,0,4,0,1,0,0,4,10,4,1,4,1,4,2,4
0,2,1,1,0,2,4,1,0,2,0,1,0,0,5,10,4,1,4,5,2,2,2
1,2,7,0,0,4,2,0,0,3,0,1,0,0,4,9,4,1,2,2,4,2,4
0,3,7,1,0,3,4,0,0,1,0,1,0,0,4,10,4,1,4,4,4,4,4
0,2,7,1,0,4,4,0,1,1,0,0,1,0,4,9,1,1,5,2,4,4,4
0,4,1,0,0,6,5,0,1,4,0,1,0,0,5,10,4,1,2,1,4,5,4
0,3,7,1,0,3,4,0,1,4,0,1,0,0,4,10,4,1,3,2,4,4,4
0,3,7,1,0,2,2,0,0,5,0,1,0,0,5,10,4,1,2,4,4,2,4
0,3,7,1,0,0,4,0,0,1,0,1,0,0,4,3,1,1,5,4,2,4,4
0,3,6,1,0,6,4,0,0,1,0,1,0,0,5,10,4,0,2,2,5,4,5
0,3,7,1,0,3,4,0,0,4,0,1,0,0,5,10,4,1,4,2,4,2,4
0,2,7,1,0,7,2,0,0,4,0,1,0,0,5,10,4,1,4,2,4,2,4
0,4,7,1,0,2,4,1,0,3,0,1,0,0,5,10,4,1,3,2,3,4,3
0,4,7,1,0,3,4,0,0,5,0,0,0,0,5,9,4,1,3,2,5,4,3
1,3,7,1,0,6,4,1,0,4,0,1,0,0,5,9,4,1,2,4,2,4,2
0,3,7,1,0,2,4,0,1,4,0,1,0,0,4,2,4,1,2,4,4,4,4
0,4,7,1,0,6,2,0,0,4,0,0,1,0,4,9,1,1,2,4,4,2,4
0,2,7,1,0,6,4,0,0,4,0,1,0,0,5,9,4,0,3,2,2,2,4
0,3,7,1,0,6,4,1,0,4,0,1,0,0,4,9,4,1,5,2,4,4,5
0,2,7,0,0,4,2,0,0,3,0,1,0,0,4,9,4,1,3,5,3,2,3
1,4,7,1,1,5,4,1,1,4,0,1,0,0,5,9,4,1,2,4,4,4,2
0,3,7,1,0,5,4,0,1,4,0,1,0,0,4,10,1,1,2,2,5,4,4
0,3,7,1,0,2,1,0,0,2,0,1,0,0,5,10,4,1,4,4,4,1,4
0,2,1,1,0,3,4,0,0,5,0,0,0,1,5,1,4,1,4,2,4,4,4
0,3,1,1,0,7,1,0,0,2,0,1,0,0,4,10,4,0,4,2,5,1,4
0,4,5,1,0,3,4,0,0,4,0,1,0,0,5,9,4,1,2,2,4,4,4
0,4,5,1,0,4,5,1,0,4,0,1,0,0,5,10,1,1,4,1,5,5,5
0,3,7,1,0,3,2,1,0,2,0,1,0,0,4,9,4,1,2,5,1,2,1
0,2,6,1,0,4,4,0,0,5,0,1,0,0,4,9,4,1,5,1,2,4,4
0,4,1,0,0,6,4,0,0,4,0,0,0,0,5,10,4,1,4,5,4,4,4
1,3,7,1,0,4,4,0,0,2,0,1,0,0,4,10,4,0,1,5,5,4,5
1,3,6,0,0,6,5,1,0,2,0,1,0,0,4,1,4,0,2,5,2,2,2
0,2,7,1,0,7,4,0,1,4,0,1,0,0,4,10,4,1,2,2,4,2,2
0,4,7,1,0,6,4,0,0,4,0,0,0,1,5,1,1,0,4,2,4,4,4
0,1,9,0,0,3,4,1,0,1,0,0,1,0,4,2,1,0,2,4,2,4,2
1,3,7,1,1,6,1,1,0,4,0,1,0,0,4,10,4,1,3,2,5,1,4
0,1,8,0,0,4,1,0,0,4,0,1,0,0,5,10,4,1,3,2,4,1,5
0,1,7,0,0,6,2,0,0,2,0,1,0,0,2,9,4,1,4,2,4,1,5
1,4,7,1,0,3,4,1,1,5,0,1,0,0,5,10,4,1,5,2,4,4,5
0,2,7,1,0,3,4,1,1,2,0,1,0,0,2,10,4,1,2,2,4,2,4
0,3,7,1,0,4,1,0,0,1,0,1,0,0,4,3,1,1,1,4,4,1,4
0,4,5,1,1,3,4,0,0,4,0,1,0,0,5,10,4,1,4,2,4,4,2
0,3,7,1,0,3,1,0,0,4,1,1,0,1,4,10,1,1,1,5,1,1,1
0,2,7,1,0,6,4,0,0,2,0,1,0,0,4,10,4,1,4,1,4,4,5
0,3,1,1,0,4,2,1,0,1,0,1,0,0,4,10,4,1,2,4,2,2,2
1,4,1,1,0,5,2,0,0,3,0,1,0,0,2,7,1,1,3,4,4,2,4
1,3,7,1,0,3,0,1,0,4,0,1,0,0,5,10,4,1,2,4,2,0,4
0,3,7,1,0,7,1,0,0,4,0,0,0,0,5,9,4,1,5,4,5,1,5
0,4,5,1,1,3,5,0,0,4,0,1,0,0,5,10,4,1,5,2,5,4,5
0,2,6,1,0,6,2,0,0,2,1,0,0,0,1,10,4,1,4,4,2,2,2
0,3,8,1,0,6,4,0,0,3,0,1,0,0,5,10,4,1,3,4,4,4,4
0,1,7,1,0,3,4,1,1,2,0,1,0,0,5,10,4,1,2,4,5,4,5
0,4,7,1,0,6,2,1,0,5,0,1,0,0,5,10,4,0,5,2,5,2,5
1,4,1,1,0,5,2,0,0,4,0,0,0,1,4,1,4,0,2,5,4,4,4
0,2,7,1,0,3,4,0,0,4,0,1,0,0,4,9,4,0,4,5,2,4,2
0,2,7,1,0,7,2,0,0,1,0,1,0,0,5,9,1,1,3,1,5,1,5
0,3,5,1,0,3,5,1,1,5,0,1,0,0,5,9,4,1,5,1,5,2,5
0,4,7,1,0,4,4,1,1,5,0,1,0,0,5,10,4,1,2,2,4,4,5
1,3,1,0,0,3,2,0,0,2,0,1,0,0,2,10,4,0,4,4,2,2,2
1,0,5,1,1,0,2,1,0,4,0,0,0,0,4,10,4,0,2,5,4,2,4
1,4,1,1,0,6,4,1,0,2,0,0,0,0,2,10,1,1,4,2,5,2,2
0,2,7,0,0,5,2,0,0,2,0,1,0,0,2,9,4,1,2,4,4,2,4
0,2,7,1,0,7,4,0,0,3,0,1,0,0,4,9,4,1,1,2,1,4,4
